start_s,end_s,left,top,right,bottom
7.5075,20.3203,0.7349969744682312,0.6335756182670593,1.0,1.0
11.6116,65.3653,0.7522571086883545,0.6745582818984985,0.9949386119842529,0.9985337257385254
16.016,16.3163,0.8417947888374329,0.7305469512939453,0.9828199744224548,0.9917516112327576
16.3163,48.3483,0.7074227333068848,0.6346273422241211,0.9658063650131226,0.9985615015029907
18.4184,23.9239,0.6961168050765991,0.33879539370536804,0.8250821828842163,0.9466228485107422
26.026,42.042,0.5994055271148682,0.20724809169769287,0.673737108707428,0.5925765633583069
26.026,26.3263,0.0,0.7673691511154175,0.09415175020694733,0.9972795844078064
26.4264,62.7627,0.0012244542594999075,0.44637787342071533,0.1706305742263794,1.0
28.4284,52.4524,0.004482809919863939,0.5699544548988342,0.14084556698799133,0.9861022233963013
34.4344,37.9379,0.08379727602005005,0.27123042941093445,0.26668936014175415,0.877890944480896
49.9499,65.3653,0.5447564721107483,0.09604843705892563,0.6093955636024475,0.4526856541633606
52.2522,65.3653,0.0006011649966239929,0.5718985199928284,0.12852513790130615,0.9958472847938538
53.3533,54.4544,0.25909319519996643,0.08555115014314651,0.3593617379665375,0.3276515305042267
56.056,56.3563,0.24324651062488556,0.08983007818460464,0.34757137298583984,0.33169272541999817
58.6586,61.5615,0.24463528394699097,0.08976633846759796,0.3244518041610718,0.30514320731163025
59.3593,65.3653,0.2595033049583435,0.08697168529033661,0.3442496061325073,0.49082332849502563
63.6636,65.1651,0.27958381175994873,0.16074500977993011,0.3519414961338043,0.46011847257614136
