start_s,end_s,left,top,right,bottom
1.333333,1.5,0.20399869978427887,0.8841156363487244,0.3210718035697937,0.9976565837860107
1.666666,6.166666,0.2586795389652252,0.6463637948036194,0.43011975288391113,0.9995408654212952
15.0,15.166666,0.5595996379852295,0.8163025975227356,0.6887133717536926,0.992023766040802
15.166666,20.666666,0.49595579504966736,0.7186636328697205,0.6990249752998352,0.9980518221855164
15.166666,20.833333,0.18720795214176178,0.6920346021652222,0.41293731331825256,0.9983751773834229
28.333333,33.5,0.1406746357679367,0.7518114447593689,0.3903665840625763,0.9892104268074036
28.666666,33.166666,0.17804118990898132,0.5843667984008789,0.4349477291107178,0.9888063669204712
29.166666,31.166666,0.4642349183559418,0.5644369125366211,0.6156082153320312,0.9845643639564514
31.166666,34.166666,0.6007159948348999,0.23606713116168976,0.6806840896606445,0.492475688457489
43.666666,46.333333,0.387473464012146,0.5538559556007385,0.6365451812744141,1.0
