start_s,end_s,left,top,right,bottom
6.0,6.3,0.25441914796829224,0.9116317629814148,0.383804589509964,1.0
6.2,6.7,0.2689863443374634,0.623802661895752,0.5323244333267212,0.9956648349761963
6.7,19.5,0.4086209237575531,0.2546248137950897,0.6251148581504822,0.9958183765411377
22.8,23.1,0.25325924158096313,0.782975971698761,0.3863805830478668,0.992763876914978
22.9,44.7,0.23745973408222198,0.6321495175361633,0.5246042013168335,0.9975966811180115
50.5,69.1,0.24814780056476593,0.5291111469268799,0.5386356115341187,0.9973808526992798
69.1,69.5,0.702369749546051,0.028730928897857666,0.9912952780723572,0.9402385950088501
74.7,86.7,0.20183201134204865,0.6667579412460327,0.46622419357299805,0.9979032874107361
92.5,119.9,0.393884539604187,0.5405740737915039,0.685399055480957,1.0
123.7,135.9,0.189816415309906,0.6191303730010986,0.47605833411216736,0.9996972680091858
